order_id,customer_id,order_date,required_ship_date,order_status,order_amount,priority,region
1,1102,2024-04-04,2024-04-05,SHIPPED,96.76,HIGH,East
2,1435,2024-12-12,2024-12-17,SHIPPED,42.03,HIGH,East
3,1860,2024-02-13,2024-02-15,SHIPPED,109.81,MEDIUM,East
4,1270,2024-08-15,2024-08-20,SHIPPED,43.0,MEDIUM,East
5,1106,2024-03-02,2024-03-06,SHIPPED,28.9,MEDIUM,North
6,1071,2024-11-12,2024-11-17,SHIPPED,28.41,MEDIUM,East
7,1700,2024-08-06,2024-08-07,SHIPPED,24.61,MEDIUM,South
8,1020,2024-11-30,2024-12-05,SHIPPED,13.23,HIGH,West
9,1614,2024-03-29,2024-04-02,SHIPPED,18.61,LOW,West
10,1121,2024-04-21,2024-04-25,SHIPPED,28.18,MEDIUM,West
11,1466,2024-07-25,2024-07-26,SHIPPED,38.32,MEDIUM,East
12,1214,2024-11-01,2024-11-04,SHIPPED,18.39,LOW,East
13,1330,2024-07-21,2024-07-24,SHIPPED,48.26,MEDIUM,East
14,1458,2024-10-23,2024-10-28,SHIPPED,11.41,MEDIUM,South
15,1087,2024-02-02,2024-02-06,CANCELLED,21.23,MEDIUM,North
16,1372,2024-08-02,2024-08-04,SHIPPED,66.33,HIGH,West
17,1099,2024-01-12,2024-01-14,SHIPPED,29.72,MEDIUM,East
18,1871,2024-01-02,2024-01-06,SHIPPED,21.08,HIGH,South
19,1663,2024-12-28,2024-12-30,PENDING,42.75,HIGH,North
20,1130,2024-05-28,2024-05-29,PENDING,13.0,MEDIUM,East
21,1661,2024-05-21,2024-05-26,SHIPPED,85.41,HIGH,West
22,1308,2024-10-16,2024-10-20,PENDING,48.77,HIGH,North
23,1769,2024-07-25,2024-07-30,SHIPPED,46.13,LOW,East
24,1343,2024-12-06,2024-12-07,CANCELLED,29.91,MEDIUM,West
25,1491,2024-07-10,2024-07-12,SHIPPED,14.95,LOW,North
26,1413,2024-12-06,2024-12-10,SHIPPED,18.44,MEDIUM,East
27,1805,2024-11-01,2024-11-02,PENDING,34.76,MEDIUM,East
28,1385,2024-09-08,2024-09-09,SHIPPED,18.6,MEDIUM,West
29,1191,2024-07-22,2024-07-27,SHIPPED,45.81,LOW,North
30,1955,2024-12-27,2024-12-31,PENDING,18.52,LOW,West
31,1276,2024-02-15,2024-02-20,SHIPPED,104.78,LOW,East
32,1160,2024-09-17,2024-09-22,SHIPPED,35.03,LOW,South
33,1459,2024-03-06,2024-03-07,SHIPPED,20.02,LOW,West
34,1313,2024-05-29,2024-06-03,PENDING,45.53,HIGH,East
35,1021,2024-03-10,2024-03-12,SHIPPED,57.27,HIGH,East
36,1252,2024-12-29,2024-12-31,SHIPPED,86.68,HIGH,South
37,1747,2024-01-02,2024-01-03,SHIPPED,21.89,LOW,North
38,1856,2024-01-29,2024-02-03,SHIPPED,14.2,LOW,West
39,1560,2024-09-12,2024-09-14,SHIPPED,48.26,MEDIUM,East
40,1474,2024-03-01,2024-03-04,SHIPPED,38.29,MEDIUM,West
41,1058,2024-04-09,2024-04-12,SHIPPED,13.02,LOW,East
42,1510,2024-05-23,2024-05-28,SHIPPED,47.68,MEDIUM,East
43,1681,2024-07-10,2024-07-11,SHIPPED,21.15,LOW,North
44,1475,2024-12-18,2024-12-20,SHIPPED,26.51,HIGH,South
45,1699,2024-12-18,2024-12-22,SHIPPED,39.83,HIGH,East
46,1975,2024-09-26,2024-09-30,SHIPPED,36.09,LOW,West
47,1782,2024-10-25,2024-10-27,SHIPPED,30.07,HIGH,West
48,1189,2024-11-21,2024-11-26,CANCELLED,37.71,MEDIUM,West
49,1957,2024-11-06,2024-11-09,SHIPPED,47.75,MEDIUM,North
50,1686,2024-07-22,2024-07-25,PENDING,48.57,MEDIUM,West
51,1957,2024-09-01,2024-09-03,SHIPPED,45.07,HIGH,East
52,1562,2024-01-31,2024-02-03,SHIPPED,27.06,LOW,North
53,1875,2024-11-27,2024-11-29,SHIPPED,24.97,MEDIUM,North
54,1566,2024-02-21,2024-02-22,PENDING,69.85,MEDIUM,South
55,1243,2024-08-30,2024-09-02,SHIPPED,57.08,HIGH,East
56,1831,2024-09-19,2024-09-24,SHIPPED,63.4,MEDIUM,North
57,1504,2024-06-22,2024-06-25,SHIPPED,55.27,HIGH,West
58,1130,2024-04-09,2024-04-11,PENDING,54.43,MEDIUM,West
59,1484,2024-03-01,2024-03-05,SHIPPED,28.3,LOW,North
60,1818,2024-12-25,2024-12-28,SHIPPED,26.68,HIGH,West
61,1646,2024-07-06,2024-07-08,SHIPPED,40.21,MEDIUM,North
62,1020,2024-01-07,2024-01-10,CANCELLED,18.96,MEDIUM,West
