shipment_id,order_id,ship_date,delivery_date,shipment_status,carrier,warehouse_id
1,1,2024-04-05,2024-04-10,LATE,CarrierA,5
2,2,2024-12-15,2024-12-18,LATE,CarrierA,5
3,3,2024-02-13,2024-02-19,LATE,CarrierB,2
4,4,2024-08-15,2024-08-20,ON_TIME,CarrierC,2
5,5,2024-03-05,2024-03-10,LATE,CarrierC,1
6,6,2024-11-12,2024-11-19,LATE,CarrierA,2
7,7,2024-08-09,2024-08-13,LATE,CarrierA,3
8,8,2024-12-01,2024-12-06,LATE,CarrierB,4
9,9,2024-03-31,2024-04-04,LATE,CarrierA,5
10,10,2024-04-22,2024-04-23,ON_TIME,CarrierA,5
11,11,2024-07-26,2024-07-30,LATE,CarrierC,2
12,12,2024-11-02,2024-11-04,ON_TIME,CarrierA,5
13,13,2024-07-23,2024-07-28,LATE,CarrierC,4
14,14,2024-10-26,2024-10-27,ON_TIME,CarrierC,4
15,16,2024-08-04,2024-08-05,LATE,CarrierA,5
16,17,2024-01-13,2024-01-18,LATE,CarrierB,5
17,18,2024-01-05,2024-01-10,LATE,CarrierB,2
18,21,2024-05-24,2024-05-26,ON_TIME,CarrierC,5
19,23,2024-07-27,2024-08-03,LATE,CarrierC,1
20,25,2024-07-11,2024-07-13,LATE,CarrierB,1
21,26,2024-12-09,2024-12-16,LATE,CarrierC,2
22,29,2024-07-25,2024-08-01,LATE,CarrierA,5
23,32,2024-09-18,2024-09-19,ON_TIME,CarrierC,1
24,33,2024-03-09,2024-03-13,LATE,CarrierB,3
25,35,2024-03-11,2024-03-18,LATE,CarrierB,1
26,36,2024-12-31,2025-01-07,LATE,CarrierB,3
27,37,2024-01-02,2024-01-05,LATE,CarrierC,2
28,38,2024-01-29,2024-02-02,ON_TIME,CarrierB,4
29,39,2024-09-13,2024-09-18,LATE,CarrierB,1
30,40,2024-03-01,2024-03-02,ON_TIME,CarrierB,5
31,41,2024-04-12,2024-04-14,LATE,CarrierB,4
32,42,2024-05-26,2024-05-30,LATE,CarrierC,5
33,44,2024-12-19,2024-12-23,LATE,CarrierA,5
34,45,2024-12-19,2024-12-20,ON_TIME,CarrierA,5
35,46,2024-09-29,2024-10-06,LATE,CarrierA,3
36,47,2024-10-26,2024-10-27,ON_TIME,CarrierB,2
37,49,2024-11-09,2024-11-14,LATE,CarrierB,5
38,52,2024-01-31,2024-02-03,ON_TIME,CarrierB,5
39,53,2024-11-28,2024-11-30,LATE,CarrierC,2
40,55,2024-08-30,2024-08-31,ON_TIME,CarrierA,5
41,56,2024-09-20,2024-09-27,LATE,CarrierC,4
42,57,2024-06-22,2024-06-26,LATE,CarrierA,1
43,59,2024-03-01,2024-03-08,LATE,CarrierC,2
44,60,2024-12-25,2024-12-30,LATE,CarrierB,2
45,61,2024-07-07,2024-07-10,LATE,CarrierA,5
46,65,2024-12-16,2024-12-19,ON_TIME,CarrierA,5
47,66,2024-10-11,2024-10-13,LATE,CarrierA,1
48,67,2024-05-04,2024-05-08,LATE,CarrierA,4
49,68,2024-06-05,2024-06-11,LATE,CarrierA,4
50,69,2024-03-28,2024-04-01,LATE,CarrierA,1
51,70,2024-05-29,2024-06-03,LATE,CarrierB,3
52,71,2024-03-12,2024-03-14,ON_TIME,CarrierB,1
53,73,2024-04-26,2024-05-02,LATE,CarrierA,2
54,74,2024-01-05,2024-01-09,LATE,CarrierA,1
55,75,2024-08-21,2024-08-23,ON_TIME,CarrierC,5
56,76,2024-06-15,2024-06-19,ON_TIME,CarrierC,5
57,77,2024-04-10,2024-04-16,LATE,CarrierB,5
58,78,2024-05-06,2024-05-08,ON_TIME,CarrierA,3
59,79,2024-02-16,2024-02-18,LATE,CarrierC,3
60,80,2024-11-22,2024-11-24,LATE,CarrierB,3
61,82,2024-04-15,2024-04-17,ON_TIME,CarrierA,1
62,84,2024-05-14,2024-05-16,ON_TIME,CarrierC,4
63,85,2024-01-08,2024-01-09,ON_TIME,CarrierA,3
64,86,2024-01-28,2024-01-31,ON_TIME,CarrierB,4
65,87,2024-09-29,2024-10-05,LATE,CarrierA,4
66,89,2024-01-11,2024-01-17,LATE,CarrierA,3
67,91,2024-05-15,2024-05-20,LATE,CarrierA,5
68,92,2024-02-01,2024-02-03,LATE,CarrierA,5
69,93,2024-04-24,2024-04-29,LATE,CarrierC,5
70,94,2024-02-03,2024-02-10,LATE,CarrierA,2
71,95,2024-01-10,2024-01-13,LATE,CarrierA,1
72,96,2024-02-11,2024-02-16,LATE,CarrierC,1
73,97,2024-11-26,2024-11-29,LATE,CarrierB,5
74,99,2024-03-26,2024-03-29,ON_TIME,CarrierC,4
75,100,2024-07-31,2024-08-04,LATE,CarrierB,5
76,101,2024-04-27,2024-04-29,LATE,CarrierC,5
77,105,2024-04-25,2024-05-01,LATE,CarrierA,2
78,106,2024-11-19,2024-11-25,LATE,CarrierB,4
79,109,2024-12-22,2024-12-27,LATE,CarrierA,2
80,110,2024-02-19,2024-02-23,ON_TIME,CarrierA,5
81,112,2024-12-02,2024-12-09,LATE,CarrierC,5
82,113,2024-03-22,2024-03-29,LATE,CarrierC,4
83,114,2024-01-23,2024-01-24,LATE,CarrierB,3
84,115,2024-02-09,2024-02-16,LATE,CarrierB,3
